Calling govaluate.NewEvaluableExpressionWithFunctions from govaluate.TestStructFunctions at evaluation_test.go:1459, arguments:, returns:{"X1":{"QueryDateFormat":"2006-01-02T15:04:05.999999999Z0700","ChecksTypes":true},"X2":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:236, arguments:, returns:{"X1":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:241, arguments:, returns:{"X1":null}
Calling govaluate.EvaluableExpression.evaluateStage from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:227, arguments:{"parameters":{},"stage":{}}, returns:{"X1":null,"X2":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:236, arguments:, returns:{"X1":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:241, arguments:, returns:{"X1":null}
Calling govaluate.EvaluableExpression.evaluateStage from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:194, arguments:{"parameters":{},"stage":{}}, returns:{"X1":2000,"X2":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:236, arguments:, returns:{"X1":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:241, arguments:, returns:{"X1":null}
Calling govaluate.EvaluableExpression.evaluateStage from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:227, arguments:{"parameters":{},"stage":{}}, returns:{"X1":null,"X2":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:236, arguments:, returns:{"X1":null}
Calling govaluate.typeCheck from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:241, arguments:, returns:{"X1":null}
Calling govaluate.EvaluableExpression.evaluateStage from govaluate.EvaluableExpression.evaluateStage at EvaluableExpression.go:227, arguments:{"parameters":{},"stage":{}}, returns:{"X1":2001,"X2":null}
Calling govaluate.EvaluableExpression.evaluateStage from govaluate.EvaluableExpression.Eval at EvaluableExpression.go:182, arguments:{"parameters":{},"stage":{}}, returns:{"X1":4001,"X2":null}
Calling govaluate.EvaluableExpression.Eval from govaluate.EvaluableExpression.Evaluate at EvaluableExpression.go:161, arguments:{"parameters":{}}, returns:{"X1":4001,"X2":null}
Calling govaluate.EvaluableExpression.Evaluate from govaluate.TestStructFunctions at evaluation_test.go:1460, arguments:{"parameters":null}, returns:{"X1":4001,"X2":null}
